1954,845,1051,1583,1724,2586,2773,3022,3045,2668,2410,1686,1105
1955,1125,1445,1550,2008,2458,2984,2899,2787,2695,2538,1607,1100
1960,861,1075,1155,1600,2260,2233,2430,2476,2251,2056,1503,1212
1987,835,1055,887,1508,2125,2259,2582,2591,2322,1762,1434,1040
1995,757,850,1168,1526,2129,2419,2452,2475,2354,1882,1175,833
1996,822,1030,1142,1544,2232,2345,2631,2530,2314,1770,1408,1113
1997,878,601,921,1414,2221,2357,2501,2331,2265,1971,1369,952
1998,746,889,1040,1731,2119,2327,2559,2708,2418,2028,1631,1090
1999,875,991,1271,1610,2238,2292,2518,2611,2331,1976,1405,1010
2001,850,916,1582,1779,2070,2430,2570,2570,2320,1960,1300,960
2002,650,1030,1370,1540,1930,2330,2600,2510,2380,2160,1440,925
2003,910,790,935,1585,2310,2275,1745,2520,1600,1960,1440,725
2004,185,900,1100,1650,1715,2305,2575,2425,2360,2090,1400,730
2005,815,830,1255,1710,1670,2275,2520,2575,2270,1845,1265,1109
2006,815,1000,1260,1620,2070,2400,2440,2540,2490,1920,1190,670
2007,710,970,1120,1535,2245,2400,2594,2570,2390,1814,1420,880
2008,460,830,1570,1827,1943,2460,2540,2630,2425,1930,1450,960
2009,760,960,1100,1640,2030,2465,2544,2515,2295,2200,1285,1090
2010,1050,1145,1490,1525,2150,2440,2620,2877,2535,2230,1695,1055
2011,920,915,1210,1611,2049,2300,2614,2530,2370,1932,1560,830
2012,685,810,1015,1870,2226,2654,2665,2634,2476,2170,1519,1020
2013,798,1090,1430,1640,2190,2368,2492,2550,2330,1820,1590,790
2014,930,980,1410,1820,2080,2350,2490,2600,2290,1910,1320,1140
2015,770,930,1305,1553,2140,2240,2565,2765,2660,2190,1455,845
2016,770,1160,1410,1960,2600,2600,2605,2690,2350,2080,1435,1435
2017,1435,800,800,1735,1735,2145,2430,2635,2510,1945,1450,1200
2018,880,1250,1600,1785,2335,2390,2560,2570,2459,2135,1450,1005
2019,836,944,1112,1471,2340,2549,2560,2599,2410,2170,1597,990
2021,990,1095,1270,1850,2450,2427,2741,2734,2335,2335,1605,1070
2022,765,905,961,2015,2125,2435,2540,2705,2510,2155,1530,1130
2023,1015,890,1200,1685,2140,2775,2700,2768,2500,2160,1680,1226
